Key,Id,English(en)
"Window.ProfileEditor.Title",,"Profile Editor"
"Window.ProfileEditor.CreateNewProfile",,"Create New Profile"
"Window.ProfileEditor.EditProfile",,"Edit Profile"
"Window.ProfileEditor.BasicSettings",,"Basic Settings"
"Window.ProfileEditor.UnitySettings",,"Unity Build Settings"
"Window.ProfileEditor.GitSettings",,"Git Settings"
"Window.ProfileEditor.SteamSettings",,"Steam Settings"
"Window.ProfileEditor.EpicSettings",,"Epic Settings"
"Window.ProfileEditor.MacOSSettings",,"macOS Settings"
"Window.ProfileEditor.Depots",,"Depots"
"Window.ProfileEditor.DepotLabel",,"Depot {0}: {1} ({2})"
"Window.ProfileEditor.Fields.ProfileName",,"Profile Name"
"Window.ProfileEditor.Tooltips.ProfileName",,"A unique name to identify this build profile"
"Window.ProfileEditor.Fields.Platform",,"Target Platform"
"Window.ProfileEditor.Tooltips.Platform",,"Target platform: Steam, Epic Games Store, or both"
"Window.ProfileEditor.Fields.OperatingSystem",,"Target Operating System"
"Window.ProfileEditor.Tooltips.OperatingSystem",,"Target operating system: Windows, macOS, or both"
"Window.ProfileEditor.Fields.BundleId",,"Bundle ID"
"Window.ProfileEditor.Tooltips.BundleId",,"macOS bundle identifier (defaults to project's bundle ID in player settings)"
"Window.ProfileEditor.Fields.MacOSSigning",,"macOS Signing"
"Window.ProfileEditor.Tooltips.MacOSSigning",,"Enable code signing for macOS builds"
"Window.ProfileEditor.Fields.Notorize",,"Enable macOS signing and notarization"
"Window.ProfileEditor.Tooltips.Notorize",,"Enable macOS code signing and notarization before publishing. Requires credentials in ~/.env_cadet_mac_creds"
"Window.ProfileEditor.Fields.UseGit",,"Use Git Branch"
"Window.ProfileEditor.Tooltips.UseGit",,"If enabled, checkout the specified Git branch before building. WARNING: All changes in the target directory will be lost."
"Window.ProfileEditor.Fields.GitRepository",,"Git Repository URL"
"Window.ProfileEditor.Tooltips.GitRepository",,"The URL of the Git repository to clone from (e.g., https://github.com/user/repo.git)"
"Window.ProfileEditor.Fields.GitBranch",,"Git Branch"
"Window.ProfileEditor.Tooltips.GitBranch",,"The Git branch to checkout and sync to"
"Window.ProfileEditor.Fields.GitBashPath",,"Git for Windows Path"
"Window.ProfileEditor.Tooltips.GitBashPath",,"Path to git.exe from Git for Windows installation (e.g., C:/Program Files/Git/bin/git.exe). Git for Windows provides proper credential management."
"Window.ProfileEditor.Dialogs.SelectGitBashPath",,"Select Git Executable"
"Window.ProfileEditor.Messages.GitWarning",,"WARNING: When Git sync is enabled, CADET will clone or reset the target directory to match the remote repository. All local changes in the target directory will be permanently lost during the build process."
"Window.ProfileEditor.Messages.MacOSBuildWarning",,"WARNING: macOS builds require Xcode and must be built on a macOS system. You are currently running on a non-macOS system. Strongly consider building this profile on a Mac to avoid build failures."
"Window.ProfileEditor.Messages.BundleIdRequired",,"Bundle ID is required when macOS is selected"
"Window.ProfileEditor.Fields.EditorPath",,"Editor Executable Path"
"Window.ProfileEditor.Tooltips.EditorPath",,"Path to the Unity Editor executable"
"Window.ProfileEditor.Fields.ProjectPath",,"Project Directory Path"
"Window.ProfileEditor.Tooltips.ProjectPath",,"Path to the Unity project directory"
"Window.ProfileEditor.Fields.BuildOutputPath",,"Build Output Directory Path"
"Window.ProfileEditor.Tooltips.BuildOutputPath",,"Directory where Unity build output will be saved"
"Window.ProfileEditor.Fields.ProjectName",,"Build Executable Name"
"Window.ProfileEditor.Tooltips.ProjectName",,"Name of the build executable (auto-extracted from project path, can be manually overridden)"
"Window.ProfileEditor.Fields.AppID",,"App ID"
"Window.ProfileEditor.Tooltips.AppID",,"Steam App ID for your game"
"Window.ProfileEditor.Fields.SteamCMDWindows",,"SteamCMD (Windows)"
"Window.ProfileEditor.Tooltips.SteamCMDWindows",,"Path to SteamCMD executable for Windows"
"Window.ProfileEditor.Fields.SteamCMDMacOSLinux",,"SteamCMD (macOS/Linux)"
"Window.ProfileEditor.Tooltips.SteamCMDMacOSLinux",,"Path to SteamCMD script for macOS/Linux"
"Window.ProfileEditor.Fields.ConfigureSteamCredentials",,"Configure Steam Credentials"
"Window.ProfileEditor.Tooltips.ConfigureSteamCredentials",,"Configure Steam username, password, and Steam Guard code for authentication"
"Window.ProfileEditor.Messages.SteamCredentialsConfigured",,"✅ Configured"
"Window.ProfileEditor.Messages.SteamCredentialsNotConfigured",,"⚠️ Not Configured"
"Window.ProfileEditor.Messages.EpicCredentialsConfigured",,"✅ Configured"
"Window.ProfileEditor.Messages.EpicCredentialsNotConfigured",,"⚠️ Not Configured"
"Window.SteamCredentialsWizard.Title",,"Configure Steam Credentials"
"Window.SteamCredentialsWizard.Step1",,"Step 1 of 2: Enter Login Credentials"
"Window.SteamCredentialsWizard.UsernameLabel",,"Username:"
"Window.SteamCredentialsWizard.PasswordLabel",,"Password:"
"Window.SteamCredentialsWizard.CheckCredentials",,"Check Credentials"
"Window.SteamCredentialsWizard.CheckingCredentials",,"Checking credentials..."
"Window.SteamCredentialsWizard.CredentialsVerified",,"Credentials verified"
"Window.SteamCredentialsWizard.InvalidCredentials",,"Invalid username or password"
"Window.SteamCredentialsWizard.SteamCMDNotFound",,"SteamCMD not found. Please install SteamCMD first."
"Window.SteamCredentialsWizard.InvalidGuardCode",,"Invalid Steam Guard code. Please enter a 5-digit code."
"Window.SteamCredentialsWizard.Next",,"Next >"
"Window.SteamCredentialsWizard.Back",,"< Back"
"Window.SteamCredentialsWizard.SaveFailed",,"Failed to save credentials. Please try again."
"Window.SteamCredentialsWizard.Fields.SkipValidation",,"Skip validation (enter credentials manually)"
"Window.SteamCredentialsWizard.WaitingForProcessMessage",,"Please wait... SteamCMD is validating your credentials. If a terminal window opens, please follow any prompts that may appear to continue."
"Window.SteamCredentialsWizard.OptionalGuardCodeInstructions",,"If you have received a Steam Guard code, please enter it below."
"Window.SteamCredentialsWizard.OptionalGuardCodeLabel",,"Steam Guard Code:"
"Window.SteamCredentialsWizard.Buttons.Skip",,"Skip"
"Window.SteamCredentialsWizard.Buttons.Save",,"Save"
"Window.ProfileEditor.Fields.Description",,"Description"
"Window.ProfileEditor.Tooltips.Description",,"Description for the Steam build"
"Window.ProfileEditor.Fields.SetLiveBranch",,"Set Live Branch"
"Window.ProfileEditor.Tooltips.SetLiveBranch",,"Steam branch name to set as live"
"Window.ProfileEditor.Fields.ContentRoot",,"Content Root"
"Window.ProfileEditor.Tooltips.ContentRoot",,"Root directory for Steam content"
"Window.ProfileEditor.Fields.BuildOutput",,"Build Output"
"Window.ProfileEditor.Tooltips.BuildOutput",,"Output directory for Steam build files"
"Window.ProfileEditor.Fields.DepotID",,"Depot ID"
"Window.ProfileEditor.Tooltips.DepotID",,"Steam depot ID for this depot"
"Window.ProfileEditor.Fields.OS",,"OS"
"Window.ProfileEditor.Tooltips.DepotOS",,"Operating system for this depot"
"Window.ProfileEditor.Fields.LocalPath",,"Local Path"
"Window.ProfileEditor.Tooltips.LocalPath",,"Local file system path for depot content"
"Window.ProfileEditor.Fields.DepotPath",,"Depot Path"
"Window.ProfileEditor.Tooltips.DepotPath",,"Path within the Steam depot"
"Window.ProfileEditor.Fields.Recursive",,"Recursive"
"Window.ProfileEditor.Tooltips.Recursive",,"Whether to include subdirectories recursively"
"Window.ProfileEditor.Fields.ProductID",,"Product ID"
"Window.ProfileEditor.Tooltips.ProductID",,"Epic Games Store product ID"
"Window.ProfileEditor.Fields.OrganizationID",,"Organization ID"
"Window.ProfileEditor.Tooltips.OrganizationID",,"Epic Games organization ID"
"Window.ProfileEditor.Fields.ArtifactID",,"Artifact ID"
"Window.ProfileEditor.Tooltips.ArtifactID",,"Epic Games artifact ID for the build"
"Window.ProfileEditor.Fields.SandboxID",,"Sandbox ID"
"Window.ProfileEditor.Tooltips.SandboxID",,"Epic Games sandbox ID"
"Window.ProfileEditor.Fields.EpicLabel",,"Label"
"Window.ProfileEditor.Tooltips.EpicLabel",,"The label to apply to this build (e.g., 'dev', 'staging', 'live'). Defaults to 'dev'."
"Window.ProfileEditor.Fields.BuildVersion",,"Game Binary Version"
"Window.ProfileEditor.Tooltips.BuildVersion",,"Version string for Epic builds (e.g., 1.0.0). Leave empty to use git tag if enabled."
"Window.ProfileEditor.Fields.UseGitTagForVersion",,"Use Latest Git Tag for Version"
"Window.ProfileEditor.Tooltips.UseGitTagForVersion",,"When enabled, uses the latest git tag as the build version instead of manual entry"
"Window.ProfileEditor.Fields.BuildPatchToolPath",,"BuildPatchTool Path"
"Window.ProfileEditor.Tooltips.BuildPatchToolPath",,"Path to Epic Games BuildPatchTool directory"
"Window.ProfileEditor.Fields.EnableSigning",,"Enable Signing"
"Window.ProfileEditor.Tooltips.EnableSigning",,"Enable code signing for macOS builds"
"Window.ProfileEditor.Fields.EntitlementsPath",,"Entitlements Path"
"Window.ProfileEditor.Tooltips.EntitlementsPath",,"Path to the macOS entitlements file"
"Window.ProfileEditor.Buttons.Cancel",,"Cancel"
"Window.ProfileEditor.Buttons.Save",,"Save"
"Window.ProfileEditor.Buttons.Browse",,"Browse"
"Window.ProfileEditor.Buttons.Edit",,"Edit"
"Window.ProfileEditor.Buttons.Done",,"Done"
"Window.ProfileEditor.Buttons.Remove",,"Remove"
"Window.ProfileEditor.Buttons.AddDepot",,"Add Depot"
"Window.ProfileEditor.Buttons.OK",,"OK"
"Window.ProfileEditor.Messages.ValidationError",,"Validation Error"
"Window.ProfileEditor.Messages.ProfileSaved",,"Profile Saved"
"Window.ProfileEditor.Messages.InitializationFailed",,"Profile editor failed to initialize."
"Window.ProfileEditor.Dialogs.SelectUnityEditor",,"Select Unity Editor"
"Window.ProfileEditor.Dialogs.SelectUnityProject",,"Select Unity Project"
"Window.ProfileEditor.Dialogs.SelectBuildOutputDirectory",,"Select Build Output Directory"
"Window.ProfileEditor.Dialogs.SelectBuildPatchToolDirectory",,"Select BuildPatchTool Directory"
"Window.ProfileEditor.Dialogs.SelectEntitlementsFile",,"Select Entitlements File"
"Window.ProfileEditor.Options.Steam",,"steam"
"Window.ProfileEditor.Options.Epic",,"epic"
"Window.ProfileEditor.Options.Both",,"both"
"Window.ProfileEditor.Options.NoPublishing",,"No Publishing"
"Window.ProfileEditor.Options.Windows",,"windows"
"Window.ProfileEditor.Options.Mac",,"mac"
"Window.ProfileEditor.Options.Yes1",,"Yes (1)"
"Window.ProfileEditor.Options.No0",,"No (0)"
"Window.Cadet.Title",,"C.A.D.E.T"
"Window.Cadet.Header",,"CADET - Cross-platform Automated Deployment Engine & Tooling"
"Window.Cadet.ProfileLabel",,"Profile:"
"Window.Cadet.Buttons.New",,"New"
"Window.Cadet.Buttons.Edit",,"Edit"
"Window.Cadet.Buttons.Delete",,"Delete"
"Window.Cadet.Buttons.Duplicate",,"Duplicate"
"Window.Cadet.Buttons.Export",,"Export"
"Window.Cadet.Buttons.Cancel",,"Cancel"
"Window.Cadet.Buttons.OK",,"OK"
"Window.Cadet.Buttons.TailCadetLog",,"CADET Log Monitor"
"Window.Cadet.Buttons.TailUnityLog",,"Unity Build Monitor"
"Window.Cadet.Messages.TestingBinary",,"Testing CADET binary..."
"Window.Cadet.Messages.RunningDistScript",,"=== Running dist.sh ==="
